PAÍS,SOLICITANTES,ABANDONOS,DESISTIDOS,SOLICITANTES QUE CONCLUYERON PROCEDIMIENTO,RECONOCIDOS,PC,NO RECONOCIDOS
HONDURAS,1035,228,148,659,236,39,384
SALVADOR,626,105,70,451,152,19,280
GUATEMALA,108,22,16,70,28,9,33
CUBA,96,11,77,8,2,0,6
VENEZUELA,56,0,0,56,9,4,43
COLOMBIA,31,2,5,24,6,1,17
INDIA,30,0,23,7,1,0,6
NICARAGUA,28,9,5,14,1,1,12
HAITI,25,1,4,20,0,0,20
NIGERIA,14,4,0,10,4,0,6
ESTADOS UNIDOS,10,3,1,6,0,2,4
UCRANIA,9,0,0,9,8,0,1
NEPAL,8,0,8,0,0,0,0
BANGLADESH,6,0,6,0,0,0,0
REP. DOMINICANA,6,0,1,5,1,0,4
RUSIA,6,0,0,6,3,3,0
SIRIA,6,1,0,5,5,0,0
CAMERUN,5,1,0,4,1,1,2
ERITREA,4,0,4,0,0,0,0
SOMALIA,4,0,4,0,0,0,0
ECUADOR,3,0,2,1,0,0,1
GHANA,3,1,0,2,0,0,2
IRAN,3,1,0,2,0,2,0
ARGENTINA,2,0,0,2,0,2,0
CANADA,2,0,0,2,0,0,2
ETIOPIA,2,0,1,1,0,0,1
CONGO,1,0,0,1,0,0,1
COSTA DE MARFIL,1,0,1,0,0,0,0
COSTA RICA,1,0,0,1,0,0,1
EGIPTO,1,0,0,1,1,0,0
GUINEA,1,0,1,0,0,0,0
PAKISTAN,1,0,1,0,0,0,0
PALESTINA,1,0,0,1,1,0,0
PERU,1,0,0,1,0,1,0
SRI LANKA,1,0,0,1,1,0,0
TOTALES,2137,389,378,1370,460,84,826
