PAIS,SOLICITANTES,ABANDONOS,DESISTIDOS,SOLICITANTES QUE CONCLUYERON PROCEDIMIENTO,RECONOCIDOS,PC,NO RECONOCIDOS
HONDURAS,1560,348,157,1055,379,70,606
SALVADOR,1476,251,137,1088,474,69,545
GUATEMALA,102,28,5,69,27,7,35
VENEZUELA,57,4,0,53,26,8,19
CUBA,37,7,23,7,1,0,6
NICARAGUA,28,6,5,17,2,1,14
COLOMBIA,26,2,2,22,9,0,13
INDIA,20,0,12,8,1,0,7
HAITI,16,2,1,13,0,0,13
ESTADOS UNIDOS,8,1,2,5,0,1,4
NIGERIA,8,0,0,8,2,2,4
GHANA,7,3,2,2,1,0,1
NEPAL,7,0,7,0,0,0,0
RUSIA,7,1,0,6,4,1,1
SIRIA,7,1,1,5,5,0,0
UCRANIA,7,0,0,7,5,0,2
TURQUIA,6,0,0,6,2,3,1
ALEMANIA,4,0,0,4,0,0,4
CAMERUN,4,1,0,3,2,0,1
IRAK,4,1,0,3,3,0,0
PERU,4,0,0,4,0,0,4
ECUADOR,3,1,2,0,0,0,0
PANAMA,3,1,0,2,1,0,1
BRASIL,2,0,0,2,0,0,2
IRAN,2,0,0,2,2,0,0
REP DEM CONGO,2,0,0,2,1,0,1
TAYIKISTAN,2,2,0,0,0,0,0
ANGOLA,1,0,1,0,0,0,0
ARGENTINA,1,1,0,0,0,0,0
BOLIVIA,1,1,0,0,0,0,0
COSTA DE MARFIL,1,1,0,0,0,0,0
COSTA RICA,1,0,1,0,0,0,0
EGIPTO,1,0,0,1,1,0,0
GUINEA,1,0,0,1,0,0,1
KAZAJISTAN,1,0,1,0,0,0,0
MARRUECOS,1,0,0,1,1,0,0
PAKISTAN,1,0,0,1,1,0,0
REP. DOMINICANA,1,0,0,1,0,0,1
SOMALIA,1,0,0,1,1,0,0
SRI LANKA,1,0,1,0,0,0,0
SURINAM,1,0,0,1,0,0,1
UGANDA,1,0,1,0,0,0,0
TOTALES,3424,663,361,2400,951,161,1288
