PAÍS,SOLICITANTES,ABANDONOS,DESISTIDOS,CANCELACIÓN DE REFUGIO,EN TRÁMITE,SOLICITANTES QUE CONCLUYERON PROCEDIMIENTO,RECONOCIDOS,PC,NO RECONOCIDOS
1,HONDURAS,4272,706,68,0,1960,1537,378,392,767
2,VENEZUELA,4042,49,14,0,3067,912,907,0,5
3,SALVADOR,3708,516,29,0,1654,1509,525,441,543
4,CUBA,796,510,9,0,124,153,17,6,130
5,GUATEMALA,676,128,4,0,305,239,55,68,116
6,HAITÍ,436,22,26,0,373,15,0,0,15
7,ESTADOS UNIDOS,106,101,0,0,2,3,0,1,2
8,CAMERÚN,105,47,1,0,52,5,0,2,3
9,COLOMBIA,96,3,1,0,64,28,8,0,20
10,ISRAEL,81,75,0,0,0,5,0,0,5
11,NICARAGUA,62,18,2,0,22,20,0,2,18
12,GHANA,24,6,2,0,12,4,1,1,2
13,ECUADOR,23,10,0,0,8,5,0,0,5
14,SOMALIA,22,5,1,0,9,7,0,0,7
15,CANADÁ,20,17,0,0,3,0,0,0,0
16,RUSIA,15,4,0,0,6,5,1,0,4
17,CONGO,11,0,4,0,5,2,1,0,1
18,ITALIA,3,0,0,0,3,0,0,0,0
19,IRÁN,9,0,0,0,0,9,5,4,0
20,GUINEA,7,1,1,0,5,0,0,0,0
21,PAKISTÁN,6,1,1,0,3,1,0,1,0
22,YEMEN,6,0,0,0,3,3,3,0,0
23,NIGERIA,5,0,0,0,2,3,0,0,3
24,REPÚBLICA DOMINICANA,4,1,0,0,3,0,0,0,0
25,BELICE,4,1,0,0,2,1,0,0,1
26,BRASIL,4,1,2,0,1,0,0,0,0
27,PANAMÁ,4,1,1,0,2,0,0,0,0
28,UCRANIA,4,0,0,0,0,4,3,0,1
29,UZBEKISTÁN,4,0,0,0,4,0,0,0,0
30,PERÚ,3,0,0,0,2,1,0,0,1
31,UGANDA,3,0,0,0,3,0,0,0,0
32,URUGUAY,3,0,0,0,3,0,0,0,0
33,SIRIA,3,3,0,0,0,0,0,0,0
34,ARGENTINA,2,2,0,0,0,0,0,0,0
35,ALBANIA,2,0,0,0,2,0,0,0,0
36,BANGLADESH,2,0,1,0,1,0,0,0,0
37,CHINA,2,0,0,0,2,0,0,0,0
38,COSTA RICA,2,0,0,0,2,0,0,0,0
39,INDIA,2,0,0,0,1,1,1,0,0
40,IRAK,2,1,0,0,1,0,0,0,0
41,KOSOVO,2,2,0,0,0,0,0,0,0
42,CHILE,1,0,0,0,1,0,0,0,0
43,EGIPTO,1,0,0,0,0,1,1,0,0
44,ERITREA,1,1,0,0,0,0,0,0,0
45,GAMBIA,1,0,0,0,1,0,0,0,0
46,GUINEA BISSAU,1,0,0,0,0,1,0,0,1
47,GUINEA EQUATORIAL,1,0,0,0,1,0,0,0,0
48,JAMAICA,1,1,0,0,0,0,0,0,0
49,JORDANIA,1,0,0,0,1,0,0,0,0
50,MACEDONIA,1,0,0,0,1,0,0,0,0
51,REPÚBLICA CENTROAFRICANA,1,0,0,0,1,0,0,0,0
52,REPÚBLICA DEMOCRÁTICA DEL CONGO,1,0,0,0,1,0,0,0,0
53,SIERRA LEONA,1,0,0,0,1,0,0,0,0
54,TURQUÍA,1,0,0,0,0,1,1,0,0
TOTALES,14596,2233,167,0,7719,4475,1907,918,1650,
